,0,1,2,3,4,5,6,7,8
245,PCMT1,TMEM189,TRIM23,CASC4,TGFBRAP1,DNTTIP1,SRPR,GARS,ASB8
246,ZNF276,TMEM199,IDUA,DIDO1,RCL1,SF3B5,NPRL2,MT-CO1,INPP5A
247,PMF1,RABL6,ZNF718,VTI1A,CCL4L1,TMED5,XXbac-BPG299F13.17,CD47,TTC30A
248,NME3,SPHK1,PYGO2,VPS13A,EAPP,GALK1,CTNNBL1,ECHDC1,PBLD
249,RBM7,NFKBIL1,RP4-800J21.3,SETX,HMGXB4,LAMP2,GBP4,MAT2A,HOMER2
250,FXN,SLC22A18AS,ACD,RP11-219B17.1,PEX16,LRCH4,RNF113A,CAP1,UBE2C
251,LMAN2,CIDEB,KCNJ14,PMEPA1,TNFRSF9,ITPA,SLBP,ATP5D,EML6
252,NARG2,KCNE1,CTD-2227I18.1,C7orf26,UNC45A,SMIM12,VAPA,VTI1B,THBS1
253,TRIP11,IDH1,RP11-10K16.1,HCFC2,CLU,NT5C,ITPA,SNCA,ZNF841
254,RPL7L1,CR1,TEX12,PELI1,ATAD1,DNAJC7,SHARPIN,CDC37,TIMM17A
255,KIF3A,SUMO3,VIL1,MYO1E,NOL11,GBP1,MLLT6,NDUFA2,RAB38
256,GARS,GUSB,LNP1,CDK16,PURA,PIGX,CD96,MRPL43,CDC42BPB
257,MCM3,SLC27A1,NEUROD2,UBE2E1,CEP128,RP11-139H15.1,WDR45,PPA2,TOR1A
258,AGA,RELB,CTC-454I21.3,ZRANB3,TMEM177,GIMAP2,TMEM18,PSMB6,TRIM16L
259,STX4,RIT1,RP13-314C10.5,TMEM222,LBR,CDC42EP3,PRPF31,SAMM50,AL928768.3
260,LARS,TCEA2,CACNA1C-AS1,HELQ,GTPBP6,CCT7,NDUFB10,NME3,EOGT
261,GTF2B,CCDC124,SUOX,ARID4A,AAGAB,NAA20,ARRB2,SMARCA4,C9orf3
262,MARCH6,LPGAT1,NEDD4,SENP2,RP11-66N24.3,JKAMP,DCP2,DIAPH1,WIBG
263,TMEM116,SMARCA4,DHX8,BANP,ERV3-1,C10orf32,DPY30,DERL1,TSPAN33
264,CAPZB,HDLBP,SEPT11,PTPRN2,GOSR2,NAT9,DHX15,LILRA4,MOB2
265,PCNA,USP7,ORC2,AP003419.16,ABCC10,PDHB,GOSR2,RELT,TSPAN15
266,SNAP47,TMEM141,RFC5,RFC2,RBM25,ORMDL2,SMIM7,TMEM87A,ANKAR
267,TMEM18,RGL2,ING5,PJA1,KIAA1430,PLEKHJ1,TXNDC17,PARVB,ISY1
268,FOPNL,GGA3,RP11-727F15.9,IGFBP4,MTERFD2,ABHD5,UBXN4,ELP6,CPNE5
269,FHL1,DAGLB,C9orf3,ZNF747,CYB5B,DCP2,RNF139,CYB5B,SIRT1
270,UBA5,PRRG4,YEATS2,ARRDC3,LYPLA1,PRKACA,PHF5A,DDX46,CDKN2A
271,SCFD1,ATP5C1,RP11-138A9.2,POMT1,NR2C2AP,DDX46,PRDX3,MRPS23,GUSB
272,CCDC22,AGO4,SMTN,RUNDC1,CNEP1R1,ZMAT5,NONO,SSBP1,NECAB3
273,PRPS2,REEP3,RP11-324I22.4,SAFB2,NUDCD1,SARS,PSMC6,SIRT6,F2R
274,TSSC1,ANKRD22,ZNF594,U2SURP,BRAT1,IFI44,ALG5,SNHG7,ZNF628
275,MED30,STK32C,RP11-502I4.3,C21orf33,INVS,GSTZ1,LRCH4,ATP6V1C1,TBCK
276,USP5,NELFB,LY6G5B,FBXO33,RNF14,GRPEL1,LRRC59,KCNK6,ORAI1
277,CWC27,MAP3K7CL,U73166.2,AL928742.12,RDH14,FAM96B,PRKACB,CCDC124,AC113189.5
278,IDI1,TMEM234,PLXNA1,RP11-159H10.3,PGRMC2,LRRC59,LAMP2,GGNBP2,PSMC4
279,SAFB2,AC005082.12,RP11-294J22.6,CD47,PRUNE,MRP63,EIF2S1,MARCH2,FADS1
280,BZRAP1-AS1,CPQ,SYP,ZNF404,PHF12,MBOAT7,HBP1,KARS,RABL2A
281,TBPL1,FYB,NIPSNAP3B,POLR3K,PRR5L,PITPNM1,PAFAH1B1,SCFD1,CTD-2267D19.2
282,CHMP4A,ATG7,RP11-408A13.4,DNAJC15,OSBPL7,LYPD2,SPTSSB,NAA20,REXO2
283,BOLA1,CTNND1,C2CD4D,MYOM2,MRM1,CD47,SEC31A,SIN3A,C16orf58
284,NUP54,S100P,CTD-2302E22.4,CRTC1,PI4KB,CWC15,PPP2R3C,DNAJC7,GGA3
285,GADD45B,SNAPIN,SMYD4,SCFD1,USP30,SAMD9L,BAZ2A,RBBP6,CSNK1A1
286,CEP68,ICOSLG,WDR44,RP11-932O9.7,HBA1,TIMMDC1,TIMM22,MRPS12,TMEM87B
287,EFCAB14,C16orf13,PAICS,ANKRD50,SNAPIN,CPQ,NDUFA2,DDX17,C9orf37
288,MDS2,MED28,TMEM177,POLR2K,EWSR1,CHMP4A,TMEM138,CSRNP1,PLAGL2
289,RBM25,PELI1,ADPRM,SPIN1,RHEBL1,CCL3,RIOK2,OAS1,MRPL51
290,RASGRP2,ARSD,OAT,RBM48,AKTIP,MFSD1,C14orf1,FN3KRP,BLZF1
291,YIPF5,F13A1,IQCE,ATG16L1,CIDEB,WDR45,FBXW4,PLEKHB2,C4orf33
292,MFF,EVA1B,MOCS2,RP11-145M9.4,RHBDD3,RARA,ECSIT,PRDX1,CNEP1R1
293,USP36,GMPPA,UBAC2,CEP128,SDHAF2,GBP4,PRR5,YPEL3,KLHL6
294,PSMC6,BABAM1,RP11-545I5.3,C1orf186,EFCAB14,ATXN10,GOLT1B,TINF2,PEX26
295,TMEM50A,MAP3K8,LGALSL,DNAJC27,ZNF32,RPS19BP1,MRE11A,ZBP1,STX4
296,YTHDC1,CTBP2,IPO9-AS1,ZNF594,INTS12,EWSR1,TMX2,ASGR1,USP20
297,MALT1,PSMB6,SLC4A8,ZNF468,DIAPH1,GLRX3,ELOF1,PLEKHJ1,DHRS4
298,NPHP3,MDP1,RNF14,RP11-162G10.5,IFI27,SAT2,VPS25,LMAN2,DUSP10
299,ZNF836,RBPJ,PPIL4,CDC42BPB,RP11-367G6.3,SHARPIN,IDI1,DRAM2,USP38
300,POLR3E,DDT,TMX3,KRBOX4,ARL16,MRPL19,TCEAL8,ISY1,FCGR1B
301,EXOC4,PCYT1A,FBXO33,C8orf44,HERPUD2,PHACTR1,DLST,STK11IP,MIS18A
302,DNAJB14,ELANE,SLC25A14,FNBP4,MRPS23,GPS1,YPEL3,RPUSD3,TNNI2
303,DDX17,TNRC18,LSM14B,PDIK1L,LRBA,PLEKHB2,C16orf13,LTB4R,KLF11
304,PIGU,SLC35A2,TBXA2R,SNHG12,NFAT5,PUM1,BIRC5,HDAC9,MZB1
305,ARHGDIA,FAAH,AC074138.3,RWDD4,SMARCC2,MRPL43,FN3KRP,THUMPD3,TRIP12
306,SNRNP27,MTIF3,ZNF175,ARPP19,PRPF31,TMEM165,SLA,N4BP2L1,RFC5
307,PRAF2,SLC16A5,TRIT1,TMEM60,MUM1,SPPL2A,ECHDC1,RPN2,ACOT13
308,TARSL2,HDAC9,S100B,INVS,TMED5,SCP2,LYRM2,UBE2D1,TMEM116
309,WHAMM,ARL4A,ENTPD3-AS1,DDX17,KLC4,JTB,CDV3,CRLS1,ZBED5-AS1
310,MPC2,EPN1,RP1-28O10.1,ZNF232,ATG16L1,TCP1,ZMAT5,NFIC,C16orf13
311,ZNF567,SLC39A1,RP11-496I9.1,RELT,STAU2,CORO7,FBXO4,TOP2B,MTIF3
312,DOCK10,GPR84,ZNF653,HMG20A,ACOT13,GFER,TMED5,MID1IP1,NSMAF
313,TOMM40,HP,LINC00886,SAAL1,PLRG1,KCNK6,B4GALT4,SMIM7,ARMC7
314,PLEKHA1,SMPDL3A,TEX2,RMDN3,RRS1,ASB8,BOLA3,NF1,RPUSD4
315,SLC4A7,AGPAT1,FSTL1,UBA5,PRAF2,KIF5B,LPGAT1,NDUFA12,ASXL2
316,TOP2B,SMIM12,AP001462.6,ARMC7,SPG7,C1QB,MED30,PICALM,ST7L
317,PAICS,FADS1,RP11-219B17.1,CD9,WIBG,C14orf166,SLC35A1,FBXO25,TCTA
318,GRAP,CDK19,ZNF528,SNX5,RP3-325F22.5,PTAFR,EMB,KLHL6,PDK2
319,ENTPD3-AS1,SH3GLB1,MADD,TTC28,IL4I1,NKIRAS2,BRWD1,CBX5,RP11-349A22.5
320,UBE2K,LSM6,TMEM234,NXT2,CDK19,TRAPPC3,TFAM,TMEM141,KCNK6
321,LTV1,C4orf33,UBE2D4,SIRT1,ABHD17B,HAVCR2,CDC123,PBRM1,B4GALT4
322,RCL1,ABHD5,NSMAF,RABL2B,ARIH2OS,UBE2E1,TRAPPC3,UBE2Q1,PTAFR
323,TFAM,RAB1B,SPG20,LRRK2,RPUSD4,RAB34,PRKD2,MPP1,RIT1
324,CLYBL,ARHGAP18,PURA,RP11-175K6.1,ACTR6,MRPS12,ZC3H15,SNX9,SAMD4B
325,DNAJA3,PCMT1,TNFRSF25,PKD2L2,TAOK2,SNX9,ELP5,CTBP2,NCOR2
326,NOL11,PRDX4,CHERP,DISP1,RAB6B,KCNQ1OT1,RP5-1028K7.2,SRP9,CDK16
327,SNHG7,ACPP,KIAA1429,RIOK1,BLZF1,WNK1,COPS4,USP38,RMND5A
328,SNX9,TMTC2,PRKAR2B,PGRMC2,MVD,IL8,UQCRC1,CCDC115,CDC16
329,ELP5,SLC19A1,RP11-142C4.6,RBM7,U2SURP,ZNF688,CHERP,C1orf35,EIF2AK4
330,POLDIP2,ZSWIM6,UBE2C,MTRF1,OTUB1,PHF5A,PGRMC1,STOML2,KIAA0125
331,TOR1A,CAT,C1orf198,RP11-110I1.14,YTHDF2,PARVB,MRPS23,CIAPIN1,TRIP11
332,MLLT11,IQCE,RP11-385F7.1,RP11-420A6.2,TMEM138,SMIM14,STK38,CDC40,TRUB2
333,SIAH2,ZFX,PROK2,ZNF433,C9orf37,TPD52L2,DDX17,PRPF8,NDUFS1
334,PSMC4,CCP110,RP1-315G1.3,RP11-77H9.2,SAMD9L,HCCS,MAP2K7,RER1,GMPPA
335,ZBP1,YWHAG,CTB-152G17.6,CTC-260E6.6,AC074138.3,TMEM205,TLE4,FRAT1,PHACTR4
336,INIP,GLB1,PLCL1,RP11-356N1.2,ZNF493,HDAC5,FXN,CORO1C,NFIC
337,NEMF,WDFY3,MRPL19,C10orf25,AC113189.5,GADD45B,WTAP,NIT1,MICU1
338,GPATCH4,PROK2,NIT1,RP4-800J21.3,RPL7L1,SWAP70,SLFN5,PLCB2,UCK1
339,SCP2,ECHDC1,SIN3A,FMO4,ZNF195,FAM96A,API5,SHARPIN,FAM120A
340,HOOK2,KLF13,CTD-2639E6.9,MTERFD2,NME6,SAMM50,LSM14A,RARS,MDP1
341,SNRNP35,ZNF503,CTF1,SLC2A13,C14orf80,MRPS23,DDX1,CSRP1,MOCS2
342,OTUB1,ECSIT,CHST8,RPL39L,RAD23A,MICU1,IRAK4,NFE2L2,JARID2
343,DNAJC15,MRP63,CACNA1F,SETD1B,ARMC7,TM7SF3,HDDC3,MTIF2,KPNA1
344,PRPF8,KIAA1429,RP11-88H9.2,GRB2,CEP120,CTC-378H22.1,C10orf32,PSMG2,FAM173A
345,SNX14,ZNF263,RP11-783K16.13,GPATCH4,TMEM62,TRIM14,NME3,OAS3,IP6K1
346,RBM5,PLAGL2,SLC24A3,PDE6B,RALY,NDUFA10,STX4,CWC27,NFATC1
347,ASB8,MICU1,NUPR1,FAM98A,TANGO6,YPEL2,UBLCP1,TCEAL4,WDR55
348,PDXDC1,PDIA5,C11orf85,TRAPPC12-AS1,GLYCTK,SH3KBP1,MPV17,DNASE1L3,USP5
349,DDX56,RAB8B,RP3-337O18.9,LONRF1,EDC3,OXLD1,RHEBL1,ZNF503,DYNLL2
350,DSCR3,DHX34,RAB6C,CDKN2A,TTC1,BAZ2A,MAEA,MRPL42,DDB2
351,HDAC2,SETD5,RP11-700J17.2,SMTN,ARL2BP,CELF1,GID8,CIDEB,PRKACA
352,URGCP,SMARCC2,CCNB3,RP11-324I22.4,HPRT1,BABAM1,RABEP2,GSTZ1,QRICH1
353,MID1IP1,CELF1,PF4V1,ARHGAP11A,N4BP2L1,FOSL2,CCDC174,BNIP2,RFC2
354,RIOK1,ZNF561,CTC-548K16.1,LINC00957,CASC3,RGS18,LMF2,PRKCB,ARRDC3
355,ACTR6,RIN2,RP11-91A18.4,VSIG10L,AQP3,NKAP,TMEM242,NT5C3A,VTI1B
356,ST3GAL2,FAM96B,LBX2,RP11-408A13.4,ZFYVE28,NCOR2,SF3B1,DIS3,MFF
357,ZNF688,TEX2,CTA-331P3.1,NIPSNAP3B,MED30,ISOC2,PRAF2,C12orf10,NOC4L
358,FBXO21,SENCR,FAM225A,BET1,RIT1,COLGALT1,SMC2,JTB,GPKOW
359,SDCCAG8,NIT1,PRSS27,ZBP1,CLYBL,CTNNBIP1,RDH14,MMADHC,IGLL5
360,SUV420H2,KLHL6,RTN2,GPR183,PJA1,TMEM199,ZNF688,EIF2AK4,PPIF
361,SDAD1,RABIF,RP1-59D14.1,LIX1L,THOC7,AP003733.1,RAB1B,STX11,ACD
362,TOP1MT,PKN2,PCDH9-AS1,MARCH5,ABHD12,PPBP,CHI3L2,B4GALT4,HAVCR2
363,ING5,HAVCR2,CTA-989H11.1,TTC3,SNX5,HMGCL,CKS1B,PGM2,VPS13C
364,RPUSD3,KIAA0196,RP1-111C20.3,NFAT5,SNX17,RNF187,MRS2,IL17RA,GNPTAB
365,ACTL6A,RP11-701P16.5,CREB3L1,SNX9,CAPZB,TAF10,TIMM17A,ADD1,CGRRF1
366,KRBOX4,CXCL3,AC096559.1,RP11-390B4.5,FOSL2,STK32C,NOP58,EMILIN2,C3orf38
367,MAP2K7,SLC22A4,MYBPC3,CTD-2012K14.7,RIOK1,EIF2AK4,ELP6,TMEM9B,APH1B
368,ERCC6L2,RPH3A,RP11-65N13.8,ZNF567,SLC35A2,NABP1,C21orf33,NDUFB8-1,ATP6V1F
369,NSMAF,PACSIN2,RP11-481J2.2,ZCCHC9,CTC-444N24.11,C21orf33,TTC14,MTIF3,CCDC94
370,TIMM22,LSM14B,AL161784.1,ZNF175,NNT-AS1,FH,PCYT1A,HMBOX1,IL17RA
371,NR2C2AP,FAM120A,LINC01132,EARS2,TUBG2,PICALM,PARP1,TIMM17A,JKAMP
372,LRBA,NABP1,PDF,LINC00342,ZNF747,HIST1H2AC,PEX19,NDUFB10,ARAP1
373,RP11-706O15.1,PTGES2,CST11,HCCS,WDR55,PDIA3,FNTA,TCEA2,TAF10
374,ST7L,RPUSD4,RP11-379F4.4,ZBTB10,ZBP1,TCTA,CLSTN3,RMND5A,PICALM
375,PEMT,RAB21,LINC01122,DPH6,CTNNBL1,SLC50A1,NR2C2AP,CHMP4A,SNX14
376,PCNX,C17orf62,RP11-816J6.3,NR3C1,VMAC,TMX2,C1GALT1C1,RFC1,LUC7L
377,DDX46,ARPC4,PRSS22,LPGAT1,AC002331.1,THAP2,RNF7,SYVN1,DNAJB14
378,TMEM14C,SETX,ACTA2-AS1,CRIP3,CASC8,PDZD11,CASP4,PTCRA,TMEM189
379,BAZ2A,C2orf76,SYNGR3,LINC00886,TTPAL,RABIF,DNAJC2,SPG7,PHACTR1
380,MRPL42,RP4-684O24.5,JMJD7,RP11-1000B6.3,GDF11,CA2,CRLS1,MAEA,CASC4
381,RNF125,TMEM102,RP11-355N15.1,TGFB1I1,PUS7,TAF12,TRIT1,USP7,RELB
382,UBLCP1,SERPINF1,MYZAP,RP11-432I5.1,CLSTN3,DENND5A,LRBA,SH3KBP1,TCEAL4
383,PACS1,ATP6V1C1,MNS1,RBM26-AS1,ANAPC4,GINM1,SCFD1,TRUB2,FAM127A
384,NAA25,UBE2D4,LOX,LYRM4,MED7,RRAGC,TRUB2,ST3GAL2,FN3KRP
385,ALG5,MLEC,RP11-516C1.1,ZNF626,USP5,UBE2D4,FAM43A,ISG20L2,SETX
386,VDAC3,ST3GAL2,AC017002.2,ZNF333,PPIE,CRTAP,SEPT11,TRIM14,RELT
387,MYCBP2,RP11-398C13.6,RP11-879F14.1,AKAP8,GFER,SLC6A6,ATP5D,TNFSF10,TMEM199
388,C1orf35,WNT5B,RP11-1136J12.1,PIGL,RBM48,CYTH2,CISD1,CPSF3L,SWAP70
389,CGRRF1,RP4-781K5.2,KB-1980E6.3,RP11-142C4.6,PXMP4,NDUFB8-1,ARMC7,AHSA1,ISG20L2
390,NUPL2,AK4,LINC00618,CTB-152G17.6,FASTKD1,PMF1,NR3C1,EIF1AY,GZMB
391,ZCCHC9,RNASE3,RP11-231D20.2,SNX17,FRMPD3,EIF2S1,YES1,ITSN2,MARCH6
392,PGM2L1,HCCS,SYNPO,TYW5,C1GALT1C1,C9orf69,XPNPEP1,FOSL2,NBR1
393,PHF5A,SSBP3,CGN,NUDCD1,AC093323.3,ARL6IP5,SMIM12,MAP3K7,DOCK10
394,OXLD1,NF1,RP11-76E12.1,TANGO6,RP11-430B1.2,MDP1,RFC5,ZNF106,C1orf50
395,MAEA,PRELID2,RP4-761J14.8,USP30,KRBOX4,ERI3,SAMD9L,CAMK2G,AKTIP
396,WDR37,RP13-270P17.3,KCNG2,TRIM16L,FBXO25,NRGN,GZMK,AKAP8,P2RX5
397,NABP1,RP11-1055B8.7,KB-1460A1.3,FH,SMARCD1,PSMC6,SNX14,SETD5,SLC50A1
398,DDX1,SEPT4,DCSTAMP,MIS18A,KLRC1,FCGR3B,NXT2,LSM14A,BRWD1
399,TMED5,VSIG10L,TMEM56,RP11-488C13.5,TSC22D1,CTBP2,RP11-139H15.1,STUB1,UBE3A
400,PARP1,FZD2,RGS6,CEP120,PHACTR4,ASXL2,HMGCL,GOT2,RFC1
401,ANKHD1,CNEP1R1,ACTN1-AS1,UBE3A,PEMT,C5orf15,BZRAP1-AS1,DUS3L,SPSB2
402,SURF6,BLM,PDIA2,RP11-1096G20.5,ZNF468,HVCN1,DNAJB14,CEPT1,RXRA
403,TBC1D23,F5,ARHGDIG,CGN,RP11-308N19.1,SURF1,FAM32A,SF3B1,THYN1
404,PLEKHA3,VTI1B,RP11-382A18.2,ZNF560,ABCG2,EAPP,DDX56,INTS12,LRBA
405,NME6,TINF2,HBA2,PCDH9-AS1,CLIP1,VPS26B,TTC1,UBXN4,BOLA3
406,ARMCX5,RP11-145M9.4,RP11-203B7.2,RP11-481J2.2,MTERFD1,ACADVL,INIP,STX4,ZBP1
407,CITED4,VTI1A,RP11-152L20.3,RP1-59D14.1,RIOK2,EMG1,MFF,GGA2,HDLBP
408,PYGO2,MMP9,PDE6H,RP11-285J16.1,SEPT11,REEP3,GARS,SMAP2,RAB1B
409,USP33,MIS18BP1,CTC-498J12.3,RP11-343J3.2,MLLT11,CTD-2267D19.2,PPIG,NFKBIL1,SPPL2A
410,SNRPB,SLC48A1,CELF6-1,ACTA2-AS1,KIR3DL2,ZNF330,ISOC2,HNRNPH3,OTUB1
411,BET1,RNF168,ZNF132,MYZAP,UBA5,HDGF,COL6A2,DENND1C,PCNA
412,PLRG1,CITED4,CCDC11,RP11-216P16.2,DPH6,HDAC2,DENND1C,PIGF,CCND2
413,EIF2S1,KLF11,AARD,RP11-96C23.15,CHI3L2,COMMD10,TMEM199,NEIL1,MAP3K8
414,ADSL,GOSR2,RP11-317G6.1,CTA-989H11.1,ZFAND4,FAM173A,TOR1A,CORO1B,EPN1
415,POLR2I,NME3,KLRC3,RP4-555D20.2,CHPF2,IFT20,ARSG,FAM96A,LAMP2
416,RBPJ,SPPL2A,CTD-2033C11.1,RP11-354M20.3,CTD-3214H19.4,LYRM2,ORAI1,FXN,HDDC3
417,MOB2,CTC-428G20.6,AC103801.2,RP4-761J14.8,DMPK,RBM7,ST20,UBAP2,CORO1B
418,HBP1,TNS1,RP11-242F4.2,MREG,DMTN,RIT1,SPG7,PSMD14,RRAGC
419,TBC1D15,APH1B,MREG,RP4-545C24.1,RP11-162G10.5,TCEA2,NCOA4,DOCK10,CYTH2
420,USP20,RNF187,RP11-304M2.5,CACNA1F,WDR91,MLTK,VPS26B,GNPAT,PLEKHB2
421,PLA2G12A,FAM120C,RP4-545C24.1,TMEM56,EXOC4,ADD1,FAM173A,RARA,ISOC2
422,COMMD10,VIPR1,TUBB8,SEMA3D,DDI2,ATXN3,PLRG1,SDPR,TMEM60
423,TMEM60,FRY-AS1,RP11-216P16.2,RP11-317G6.1,IDI1,MANBA,RBM7,DMAP1,PASK
424,RGS14,LONRF1,AC015849.2,LINC00618,ZNF263,SMARCA4,MAPK1IP1L,NFU1,FAM32A
425,GINM1,PUM1,AC012499.1,SYNPO,NUDT16L1,KDM3B,CHIC2,DDX1,COMMD4
426,TMEM138,IFFO1,RP11-885N19.6,PTGES3L,ATG7,PIGF,PHF14,GOLT1B,TOMM40
427,CASC3,DENND6A,MOGAT1,LINC01118,NECAB3,DEDD,MRPL19,SIAH2,CARS
428,TMX2,ZNF350,CTC-297N7.1,RP11-382A18.2,RP11-390B4.5,NUDT5,GUSB,RP11-349A22.5,ARPC4
429,C3orf38,AP002954.4,ZNF560,ZNF132,COLGALT2,UTP6,HAGH,TTC3,ZNF688
430,GNPAT,CYP1B1-AS1,AP000282.2,AC096559.1,CTNNAL1,MAPK1IP1L,GALT,WDR55,CTNNBIP1
431,TMEM222,TTC18,RP11-1096G20.5,RP11-65N13.8,AP4S1,PCGF1,JARID2,HPRT1,MZT1
432,UBXN4,STK38,LINC01118,RP11-197N18.7,PDIK1L,NFU1,ALKBH4,MIS18BP1,YTHDC1
433,PLEKHJ1,DPY19L4,RP11-344N10.5,NIT2,DMAP1,RBM25,C14orf80,MPV17,C16orf80
434,GBP4,ST20,MICALCL,EXOC4,BCDIN3D,PPP2CA,NKAP,SDAD1,GFER
435,CTNNB1,YPEL3,RP11-271M24.2,N4BP2L1,AKAP8,LIMD2,SENCR,C9orf37,PDZD11
436,CELF1,INTS2,RP11-197N18.7,ANKRD27,NBR1,HMGXB4,TAF10,XXbac-BPG299F13.17,UBE2K
437,AC093323.3,CWC15,RP11-354M20.3,UBXN4,NFIC,SMCHD1,SPRTN,PILRB,PAFAH1B1
438,QRICH1,SDCCAG8,SEMA3D,LRRIQ3,TMEM116,FCGR1B,UBE2E1,CARS,CHIC2
439,SCAI,REPS2,GPC2,TRMT61A,PIGL,FAM120A,PRNP,HCCS,PPP2CA
440,TRAPPC3,SAMD4B,SPATA13-AS1,PITPNA-AS1,ZNF333,HELQ,C4orf3,CA2,CIAPIN1
441,TRUB2,PRPF8,RP11-285J16.1,BRAT1,CAMK2N1,MZT1,FBXO25,CARHSP1,SAMM50
442,MINA,STT3A,RP4-555D20.2,ARRDC4,ZNF653,STK11IP,RPL39L,CCL3,DNTTIP1
443,GOT2,VPS25,CCDC38,PDIA5,AP001462.6,NFKBIL1,TBPL1,DDB2,CKS1B
444,PGM2,GLYCTK,FAM71A,PSMC6,MGA,LSM14A,RAB9A,ZMAT5,IL1B
445,DCAF5,RNF213,RP11-384C4.7,SLC48A1,BAG4,CDC37,BET1,PPIF,NFE2L2
446,CAMK2G,ST7L,PTGES3L,MMD,INTS2,GTF2B,ZNF32,NKAP,HBP1
447,NDUFS1,SERAC1,RP11-96C23.15,TRIM23,SPTSSB,GMPR,ABHD17B,PRNP,WDR45
448,SAAL1,C18orf21,RP11-343J3.2,BMP8B,TBC1D15,TMEM80,PLEKHA3,CCNG1,SH3GLB1
449,RFC5,RP11-10K16.1,LEFTY1,WDR52,ZNF276,PPP1R8,MTERFD1,RNF113A,DESI1
450,PIGX,AURKC,TRIM16L,RP11-230C9.4,LUC7L,PKN2,GIMAP2,ACTL6A,TAF12
451,PTGES2,CTC-444N24.6,ZRANB3,LA16c-431H6.6,POLR3E,MPC2,AC093323.3,XPNPEP1,CPSF3L
452,N4BP2L1,AC007879.7,ZNF121,RASGRF1,TRIP12,CHIC2,BBX,ORAI1,TMEM14C
453,BABAM1,CCDC153,ZNF841,ITCH-AS1,AGA,ADAM10,POLDIP2,BLVRA,ZNF106
454,ZCCHC11,DCP2,TCL1B,TEX9,FBXO33,DICER1,FOPNL,BBX,HSPB11
455,PRR5,CECR5,TUBG2,QPCTL,TRMT61A,ACRBP,C17orf59,NUDT16L1,MAEA
456,STK38,CLIP1,AP003419.16,MEF2C-AS1,C2orf76,NBR1,TMED4,CD2AP,EIF1AY
457,DUSP10,SLC35A1,C14orf1,FAM27A,RP11-385F7.1,PCYT1A,ZMAT3,SDHAF2,RP11-231D20.2
458,CSRP1,ARRDC4,TNRC18,UBE2E2-AS1,PROK2,ADSL,CTNNBIP1,ZCCHC10,RP11-285J16.1
459,ARPP19,NFE2L2,RP11-421L21.3,AC009505.2,GIT2,STUB1,EWSR1,CCDC66,RP11-242F4.2
460,RFNG,BRAT1,EPB41L4A,RP11-147L13.8,ZNF121,MVB12A,PRDX4,NR3C1,NKX3-1
461,TASP1,GPS1,BMP8B,SULT1C2,PDZD4,LMF2,ATP6V0E2,IL8,RP4-555D20.2
462,UBE3A,RP1-111C20.4,CTD-2184C24.2,RP5-1073O3.2,PEX26,DNAJC2,RNF168,YPEL2,LINC01118
463,CDC37,PALLD,CYP1B1-AS1,RP11-830F9.5,SLC4A7,PSMD14,DHX9,GIT2,RP13-143G15.4
464,SCAPER,CAMK2G,ELOVL7,WARS2,PTGDS,C1orf35,VPS28,CRELD2,RP11-503E24.3
465,GPKOW,SHOC2,FAM27A,RBM5,QSOX1,DERL1,FOSL2,LUC7L,CCNB3
466,DYNLL2,RP1-266L20.2,AC105053.4,GDF11,PCNA,MARCH5,RFXANK,PNPLA8,KB-1980E6.3
467,SETD5,CTD-3214H19.4,MGAM,GOLGB1,GOLT1B,SPG7,CXCR1,PARP1,AARD
468,EHMT2,ASAP2,RP11-672A2.6,DIS3,CHD7,YWHAG,KIAA0196,PSMC6,CTD-2325A15.5
469,OAT,CLIP2,KCNN3,URGCP,UBAP2,CLU,DCAF8,PLA2G12A,CTD-2283N19.1
470,GZMM,ABCC10,RASGRF1,SPATA6,PDXDC1,PACSIN2,MIS18BP1,DNAJA3,RP11-382A18.2
471,SUMO3,TTN-AS1,AC140481.2,MADD,ZNF92,SLA,UBE2C,CHIC2,CYP46A1
472,VPS13C,ARHGAP24,AC093901.1,NNT-AS1,GID8,CHN2,ABHD12,TMED5,RP11-76E12.1
473,TBCB,ADIPOR2,GIPC2,NBR1,RUNDC1,RP11-468E2.4,PKN2,CCDC12,CTD-2506J14.1
474,TMEM9B,SLC6A6,MEF2C-AS1,CTD-2012J19.3,RGS1,C18orf21,DDX46,CASC4,RP1-111C20.3
475,RARS,RP11-488C13.5,MIR4523,SCIN,TUBB8,FYB,LYPLA1,VAMP5,TP63
476,STX18,C16orf74,CASC8,RP11-977G19.12,AC015849.2,DDB2,UBAP2,PRPS2,JMJD7
477,CHIC2,GNPAT,RP11-53B2.3,AC068580.6,LOX,LRRK2,EIF2B1,GLB1,ASB15
478,DENND1C,CORO7,PTPRN,KRTAP5-AS1,CTC-498J12.3,EFCAB14,GPATCH4,CHD7,RP11-379F4.4
479,NFE2L2,FEM1B,GCKR,RP4-773N10.4,PRSS22,SUCLG2,HIST1H1B,MZB1,CELF6-1
480,RP11-70P17.1,PXMP4,RP11-424I19.2,NCKAP1,SYNGR3,PGM2,NOL11,EIF2S1,SEMA3D
481,TIGIT,CXCL10,LTBP1,RP11-490M8.1,LINC01132,ISY1,OXLD1,SNX20,RP11-317G6.1
482,RP11-138A9.2,CTB-113I20.2,UBE2E2-AS1,NUDT12,GPC2,STAU1,GNPAT,ARL2,CTC-498J12.3
